phase,epoch,train_loss,train_accuracy,val_acc,val_f1,train_cls,train_cons,train_proto,train_accuracy_noisy
warmup,1,1.7216307134476918,0.6114285714285714,0.8079012345679012,0.8001872217588086,,,,
warmup,2,1.350774792262486,0.6908994708994709,0.8859259259259259,0.8858109878913853,,,,
warmup,3,1.1663864358266194,0.7038095238095238,0.8804938271604938,0.8804787088241722,,,,
warmup,4,1.046144680812876,0.7160846560846561,0.8780246913580247,0.8781055956443553,,,,
robust,5,1.0667477176681397,,0.8646913580246913,0.8650059073948884,0.8802925303373387,0.04010482202131282,0.8320138825184453,0.7296296296296296
robust,6,0.9949521242878424,,0.8483950617283951,0.848860589622724,0.8214474845184851,0.039544323665439765,0.7686623768705539,0.7395767195767196
robust,7,0.9455879881142308,,0.8360493827160493,0.8367747179280628,0.7760827729689381,0.04275999457432479,0.740626082521267,0.7471957671957672
robust,8,0.8899644804127002,,0.8271604938271605,0.8280911823733753,0.7296507433987168,0.046808567299808146,0.6845472640776761,0.7607407407407407
robust,9,0.84678819344788,,0.8182716049382716,0.8192292571518733,0.6914387356036554,0.0508829314265617,0.6495399448606703,0.7705820105820106
robust,10,0.8037694484090048,,0.8093827160493827,0.8105885541780444,0.6570133038172646,0.051848618817471326,0.6041591673048716,0.783068783068783
robust,11,0.7684027562318024,,0.8019753086419753,0.8036213519501413,0.6266403705102426,0.05657106413727715,0.567384261403765,0.7941798941798942
robust,12,0.7335709898307841,,0.7955555555555556,0.7971619556992867,0.595581785408908,0.06268143458656533,0.5332424316961298,0.8084656084656084
robust,13,0.6991351930111174,,0.7881481481481482,0.7898100885111308,0.5673243672822519,0.06542670328229193,0.49548736780724195,0.8194708994708995
robust,14,0.6821863025458401,,0.785679012345679,0.7875768866199417,0.5518148923550964,0.06899735988447905,0.47936363876812044,0.824021164021164
robust,15,0.6602023376737323,,0.7876543209876543,0.7897519753199495,0.5329756806136439,0.0710487161616169,0.45851147907751577,0.8291005291005291
robust,16,0.6378405828198428,,0.7891358024691358,0.7911540668916113,0.5135103966067077,0.07532828419454514,0.4333302045530743,0.8412698412698413
robust,17,0.6204139237429099,,0.785679012345679,0.7878607648102551,0.501333301489946,0.07143643194878543,0.41681201487010905,0.8482539682539683
robust,18,0.6168813152288003,,0.7782716049382716,0.7807833002168179,0.495907295387258,0.07516623138198777,0.4169545259866765,0.8475132275132276
robust,19,0.607636304765782,,0.7758024691358024,0.7785772684052099,0.4882596145861994,0.07809277457219584,0.4016515057435427,0.8547089947089948
robust,20,0.6019065633021965,,0.7748148148148148,0.7775903004628475,0.4841998716952309,0.07729741622925436,0.3952899042418394,0.8535449735449735
